ABC-62-CPLX,COG4591,COG1136,COG4591,,,,,,,,,,,,,,,,,,,,,,,,
CITLY-CPLX,COG3052,COG3051,COG2301,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-5,COG0477,COG1538,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3957,COG0419,COG0420,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-64-CPLX,COG4521,COG0600,COG4525,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7805,COG2080,COG1319,COG1529,,,,,,,,,,,,,,,,,,,,,,,,
ABC-5-CPLX,COG4138,COG4139,COG0614,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7628,COG1452,COG2980,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-33-CPLX,COG1129,COG4214,COG4213,,,,,,,,,,,,,,,,,,,,,,,,
CPLX-3946,COG1570,COG1722,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3959,COG4973,COG4974,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3976,COG2244,NOG04329,COG3765,,,,,,,,,,,,,,,,,,,,,,,,
TRANS-200-CPLX,COG1538,COG1136,COG0845,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-2121,COG1566,COG0477,COG1538,,,,,,,,,,,,,,,,,,,,,,,,
TRANS-CPLX-202,COG1538,COG0841,COG0841,COG0845,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-2161,COG1566,COG0477,COG1538,,,,,,,,,,,,,,,,,,,,,,,,
TRANS-CPLX-204,COG1538,COG0845,COG0841,,,,,,,,,,,,,,,,,,,,,,,,
RECFOR-CPLX,COG1195,COG0353,COG1381,,,,,,,,,,,,,,,,,,,,,,,,
UVRABC-CPLX,COG0210,COG0178,COG0322,COG0556,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3925,COG0389,COG1974,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX-157,COG1264,COG2190,,,,,,,,,,,,,,,,,,,,,,,,,
TRYPSYN,COG0159,COG0133,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7609,COG0486,COG0445,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-29-CPLX,COG4167,COG4170,COG4168,COG4171,COG4166,,,,,,,,,,,,,,,,,,,,,,
CPLX-164,COG1264,COG2190,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX-168,COG1264,COG2190,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-245,COG0450,COG3634,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX-156,COG1762,COG2213,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3949,COG2022,COG1060,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX-8029,COG1060,COG2022,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-1862,COG0810,COG0811,COG0848,COG4206,COG0614,COG4139,COG4138,,,,,,,,,,,,,,,,,,,,
CPLX0-1923,COG0810,COG0811,COG0848,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-1942,COG0848,COG0811,COG0810,COG1629,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-1941,COG0848,COG0811,COG0810,COG4771,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7954,COG0614,COG0609,COG1120,COG0810,COG0811,COG0848,COG4773,,,,,,,,,,,,,,,,,,,,
CPLX0-2001,COG4594,COG0609,COG0609,COG1120,COG0810,COG0811,COG0848,COG4772,,,,,,,,,,,,,,,,,,,
CPLX0-7952,COG4773,COG0848,COG0811,COG0810,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-1943,COG4772,COG0848,COG0811,COG0810,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-1981,COG0614,COG0609,COG1120,COG1629,COG0810,COG0811,COG0848,,,,,,,,,,,,,,,,,,,,
CPLX0-7787,COG3041,COG3077,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3933,COG2913,COG3317,COG4105,COG4775,COG1520,,,,,,,,,,,,,,,,,,,,,,
CPLX0-2381,COG0855,COG1530,COG0513,COG1185,COG0148,,,,,,,,,,,,,,,,,,,,,,
TRANS-CPLX-201,COG0845,COG1538,COG0841,,,,,,,,,,,,,,,,,,,,,,,,
ABC-32-CPLX,COG3840,COG1178,COG4143,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-2361,COG0587,COG0847,NOG07474,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-221,COG0085,COG0086,COG0202,COG1595,,,,,,,,,,,,,,,,,,,,,,,
RNAP54-CPLX,COG0085,COG0086,COG0202,COG1508,,,,,,,,,,,,,,,,,,,,,,,
RNAPS-CPLX,COG0085,COG0086,COG0202,COG0568,,,,,,,,,,,,,,,,,,,,,,,
RNAP32-CPLX,COG0085,COG0086,COG0202,COG0568,,,,,,,,,,,,,,,,,,,,,,,
RNAPE-CPLX,COG0085,COG0086,COG0202,COG1595,,,,,,,,,,,,,,,,,,,,,,,
RNAP70-CPLX,COG0085,COG0086,COG0202,COG0568,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-222,COG1191,COG0085,COG0086,COG0202,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-8,COG1077,COG1792,COG2891,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7992,COG2980,COG1452,COG0795,COG1137,COG0795,COG3117,COG1934,,,,,,,,,,,,,,,,,,,,
CPLX0-2661,COG1401,COG4268,,,,,,,,,,,,,,,,,,,,,,,,,
DTDPRHAMSYNTHMULTI-CPLX,COG1898,COG1898,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7791,COG3077,COG2026,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-28-CPLX,COG1129,COG1172,COG1879,,,,,,,,,,,,,,,,,,,,,,,,
EIISGA,COG1762,COG3414,COG3037,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-232,COG1263,COG1263,,,,,,,,,,,,,,,,,,,,,,,,,
GLUTAMATESYN-DIMER,COG0493,COG0069,,,,,,,,,,,,,,,,,,,,,,,,,
GLUTAMATESYN-CPLX,COG0069,COG0493,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-34-CPLX,COG3839,COG1175,COG0395,COG1653,,,,,,,,,,,,,,,,,,,,,,,
ANGLYC3PDEHYDROG-CPLX,COG0578,COG3075,COG0247,,,,,,,,,,,,,,,,,,,,,,,,
PROLINEMULTI-CPLX,COG0263,COG0014,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-27-CPLX,COG1117,COG0581,COG0573,COG0226,,,,,,,,,,,,,,,,,,,,,,,
PHES-CPLX,COG0016,COG0073,,,,,,,,,,,,,,,,,,,,,,,,,
APORNAP-CPLX,COG0202,COG0086,COG0085,,,,,,,,,,,,,,,,,,,,,,,,
F-O-CPLX,COG0636,COG0711,COG0356,,,,,,,,,,,,,,,,,,,,,,,,
F-1-CPLX,COG0355,COG0712,COG0056,COG0224,COG0055,,,,,,,,,,,,,,,,,,,,,,
ATPSYN-CPLX,COG0356,COG0711,COG0636,COG0055,COG0224,COG0056,COG0712,COG0355,,,,,,,,,,,,,,,,,,,
ABC-26-CPLX,COG4175,COG4176,COG2113,,,,,,,,,,,,,,,,,,,,,,,,
FAO-CPLX,COG1250,COG0183,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7879,COG0051,COG0781,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3362,COG1894,COG0852,COG1143,,,,,,,,,,,,,,,,,,,,,,,,
NADH-DHI-CPLX,COG1008,COG1005,COG0839,COG0713,COG1009,COG1008,COG1007,COG1034,COG1894,COG1905,COG1143,COG0852,COG1894,,,,,,,,,,,,,,
CPLX0-2424,COG0187,COG0188,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3803,NOG07474,COG0847,COG0587,COG1466,COG0470,COG2812,COG0592,COG3050,COG2927,,,,,,,,,,,,,,,,,,
FLAGELLAR-MOTOR-COMPLEX,COG1886,COG1868,COG1536,COG2063,COG1291,COG1360,COG1815,COG1558,COG4787,COG4786,COG1706,COG1766,COG1677,,,,,,,,,,,,,,
ABC-18-CPLX,COG1129,COG4211,COG1879,,,,,,,,,,,,,,,,,,,,,,,,
METNIQ-METHIONINE-ABC-CPLX,COG1135,COG2011,COG1464,,,,,,,,,,,,,,,,,,,,,,,,
SECE-G-Y-CPLX,COG0690,COG1314,COG0201,,,,,,,,,,,,,,,,,,,,,,,,
ABC-16-CPLX,COG3839,COG1175,COG3833,COG2182,,,,,,,,,,,,,,,,,,,,,,,
MONOMER0-1761,COG2909,COG3839,,,,,,,,,,,,,,,,,,,,,,,,,
2OXOGLUTARATEDEH-CPLX,COG0567,COG0508,COG1249,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3108,COG0740,COG0542,COG1219,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3107,COG0740,COG1219,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3104,COG0740,COG0542,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-2561,COG3096,COG3006,COG3095,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7697,COG3095,COG3006,,,,,,,,,,,,,,,,,,,,,,,,,
ATPASE-1-CPLX,NOG259379,COG2060,COG2216,COG2156,,,,,,,,,,,,,,,,,,,,,,,
ACETOLACTSYNII-CPLX,COG0028,COG0028,COG3978,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-1721,COG1538,COG0845,COG5569,COG3696,,,,,,,,,,,,,,,,,,,,,,,
FORMHYDROG2-CPLX,COG0437,COG5557,COG1740,COG0374,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-7986,COG0409,COG0298,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-20-CPLX,COG0444,COG1124,COG0601,COG1173,COG0747,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3821,COG0375,COG0378,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-6-CPLX,COG4988,COG4987,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3958,COG0286,COG4096,COG0732,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-1321,COG0330,COG0330,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-15-CPLX,COG0410,COG0411,COG0559,COG4177,COG0683,,,,,,,,,,,,,,,,,,,,,,
ABC-304-CPLX,COG0683,COG4177,COG0559,COG0411,COG0410,,,,,,,,,,,,,,,,,,,,,,
